19:27:16 - Эпоха 8/20 | Батч 80/114 | Loss: 1.8532 | Accuracy: 34.38%
19:27:17 - Эпоха 8/20 | Батч 90/114 | Loss: 1.6860 | Accuracy: 53.12%
19:27:18 - Эпоха 8/20 | Батч 100/114 | Loss: 2.0972 | Accuracy: 34.38%
19:27:19 - Эпоха 8/20 | Батч 110/114 | Loss: 2.0871 | Accuracy: 28.12%
19:27:19 - Эпоха 8/20 | Батч 114/114 | Loss: 1.4952 | Accuracy: 41.67%
19:27:21 - Эпоха 9/20 | Батч 10/114 | Loss: 1.7092 | Accuracy: 50.00%
19:27:22 - Эпоха 9/20 | Батч 20/114 | Loss: 1.5845 | Accuracy: 50.00%
19:27:23 - Эпоха 9/20 | Батч 30/114 | Loss: 1.6605 | Accuracy: 46.88%
19:27:24 - Эпоха 9/20 | Батч 40/114 | Loss: 1.9168 | Accuracy: 34.38%
19:27:25 - Эпоха 9/20 | Батч 50/114 | Loss: 1.9220 | Accuracy: 37.50%
19:27:26 - Эпоха 9/20 | Батч 60/114 | Loss: 1.8974 | Accuracy: 43.75%
19:27:27 - Эпоха 9/20 | Батч 70/114 | Loss: 2.1323 | Accuracy: 21.88%
19:27:28 - Эпоха 9/20 | Батч 80/114 | Loss: 1.7515 | Accuracy: 43.75%
19:27:28 - Эпоха 9/20 | Батч 90/114 | Loss: 1.4142 | Accuracy: 43.75%
19:27:29 - Эпоха 9/20 | Батч 100/114 | Loss: 1.8778 | Accuracy: 31.25%
19:27:30 - Эпоха 9/20 | Батч 110/114 | Loss: 1.7829 | Accuracy: 37.50%
19:27:30 - Эпоха 9/20 | Батч 114/114 | Loss: 1.8959 | Accuracy: 37.50%
19:27:32 - Эпоха 10/20 | Батч 10/114 | Loss: 1.5869 | Accuracy: 46.88%
19:27:33 - Эпоха 10/20 | Батч 20/114 | Loss: 1.6820 | Accuracy: 37.50%
19:27:34 - Эпоха 10/20 | Батч 30/114 | Loss: 1.4297 | Accuracy: 50.00%
19:27:34 - Эпоха 10/20 | Батч 40/114 | Loss: 1.6734 | Accuracy: 43.75%
19:27:36 - Эпоха 10/20 | Батч 50/114 | Loss: 1.8148 | Accuracy: 37.50%
19:27:37 - Эпоха 10/20 | Батч 60/114 | Loss: 1.6345 | Accuracy: 46.88%
19:27:38 - Эпоха 10/20 | Батч 70/114 | Loss: 1.5735 | Accuracy: 46.88%
19:27:39 - Эпоха 10/20 | Батч 80/114 | Loss: 1.8686 | Accuracy: 31.25%
19:27:39 - Эпоха 10/20 | Батч 90/114 | Loss: 1.4229 | Accuracy: 53.12%
19:27:40 - Эпоха 10/20 | Батч 100/114 | Loss: 1.5744 | Accuracy: 31.25%
19:27:41 - Эпоха 10/20 | Батч 110/114 | Loss: 1.7771 | Accuracy: 28.12%
19:27:41 - Эпоха 10/20 | Батч 114/114 | Loss: 1.5981 | Accuracy: 45.83%
19:27:43 - Эпоха 11/20 | Батч 10/114 | Loss: 1.2800 | Accuracy: 65.62%
19:27:44 - Эпоха 11/20 | Батч 20/114 | Loss: 1.5146 | Accuracy: 46.88%
19:27:44 - Эпоха 11/20 | Батч 30/114 | Loss: 1.9315 | Accuracy: 40.62%
19:27:45 - Эпоха 11/20 | Батч 40/114 | Loss: 1.5691 | Accuracy: 50.00%
19:27:46 - Эпоха 11/20 | Батч 50/114 | Loss: 1.6876 | Accuracy: 50.00%
19:27:47 - Эпоха 11/20 | Батч 60/114 | Loss: 1.4544 | Accuracy: 56.25%
19:27:48 - Эпоха 11/20 | Батч 70/114 | Loss: 1.4333 | Accuracy: 59.38%
19:27:49 - Эпоха 11/20 | Батч 80/114 | Loss: 1.5827 | Accuracy: 40.62%
19:27:50 - Эпоха 11/20 | Батч 90/114 | Loss: 1.3649 | Accuracy: 53.12%
19:27:51 - Эпоха 11/20 | Батч 100/114 | Loss: 1.4977 | Accuracy: 53.12%
19:27:52 - Эпоха 11/20 | Батч 110/114 | Loss: 1.7299 | Accuracy: 37.50%
19:27:52 - Эпоха 11/20 | Батч 114/114 | Loss: 1.7116 | Accuracy: 41.67%
19:27:54 - Эпоха 12/20 | Батч 10/114 | Loss: 1.5477 | Accuracy: 50.00%
19:27:54 - Эпоха 12/20 | Батч 20/114 | Loss: 1.6323 | Accuracy: 46.88%
19:27:55 - Эпоха 12/20 | Батч 30/114 | Loss: 1.3650 | Accuracy: 50.00%
19:27:56 - Эпоха 12/20 | Батч 40/114 | Loss: 1.7806 | Accuracy: 34.38%
19:27:57 - Эпоха 12/20 | Батч 50/114 | Loss: 1.4878 | Accuracy: 37.50%
19:27:58 - Эпоха 12/20 | Батч 60/114 | Loss: 1.7056 | Accuracy: 43.75%
19:27:59 - Эпоха 12/20 | Батч 70/114 | Loss: 1.4075 | Accuracy: 53.12%
19:27:59 - Эпоха 12/20 | Батч 80/114 | Loss: 1.5698 | Accuracy: 40.62%
19:28:00 - Эпоха 12/20 | Батч 90/114 | Loss: 1.4849 | Accuracy: 50.00%
19:28:01 - Эпоха 12/20 | Батч 100/114 | Loss: 1.4117 | Accuracy: 62.50%
19:28:02 - Эпоха 12/20 | Батч 110/114 | Loss: 1.6795 | Accuracy: 43.75%
19:28:03 - Эпоха 12/20 | Батч 114/114 | Loss: 1.7720 | Accuracy: 45.83%
19:28:05 - Эпоха 13/20 | Батч 10/114 | Loss: 1.4023 | Accuracy: 65.62%
19:28:05 - Эпоха 13/20 | Батч 20/114 | Loss: 1.8177 | Accuracy: 34.38%
19:28:06 - Эпоха 13/20 | Батч 30/114 | Loss: 1.4422 | Accuracy: 53.12%
19:28:07 - Эпоха 13/20 | Батч 40/114 | Loss: 1.4667 | Accuracy: 43.75%
19:28:08 - Эпоха 13/20 | Батч 50/114 | Loss: 1.5946 | Accuracy: 43.75%
19:28:09 - Эпоха 13/20 | Батч 60/114 | Loss: 1.5054 | Accuracy: 53.12%
19:28:09 - Эпоха 13/20 | Батч 70/114 | Loss: 1.5923 | Accuracy: 43.75%
19:28:10 - Эпоха 13/20 | Батч 80/114 | Loss: 1.9394 | Accuracy: 37.50%
19:28:11 - Эпоха 13/20 | Батч 90/114 | Loss: 1.5079 | Accuracy: 46.88%
19:28:12 - Эпоха 13/20 | Батч 100/114 | Loss: 1.7278 | Accuracy: 37.50%
19:28:13 - Эпоха 13/20 | Батч 110/114 | Loss: 1.4315 | Accuracy: 40.62%
19:28:13 - Эпоха 13/20 | Батч 114/114 | Loss: 1.5676 | Accuracy: 41.67%
19:28:15 - Эпоха 14/20 | Батч 10/114 | Loss: 1.3301 | Accuracy: 53.12%
19:28:16 - Эпоха 14/20 | Батч 20/114 | Loss: 1.0299 | Accuracy: 68.75%
19:28:17 - Эпоха 14/20 | Батч 30/114 | Loss: 1.4508 | Accuracy: 40.62%
19:28:18 - Эпоха 14/20 | Батч 40/114 | Loss: 1.1949 | Accuracy: 59.38%
19:28:19 - Эпоха 14/20 | Батч 50/114 | Loss: 1.5138 | Accuracy: 53.12%
19:28:19 - Эпоха 14/20 | Батч 60/114 | Loss: 1.4384 | Accuracy: 43.75%
19:28:20 - Эпоха 14/20 | Батч 70/114 | Loss: 1.6597 | Accuracy: 43.75%
19:28:21 - Эпоха 14/20 | Батч 80/114 | Loss: 1.6835 | Accuracy: 46.88%
19:28:22 - Эпоха 14/20 | Батч 90/114 | Loss: 1.4762 | Accuracy: 40.62%
19:28:23 - Эпоха 14/20 | Батч 100/114 | Loss: 1.4129 | Accuracy: 46.88%
19:28:23 - Эпоха 14/20 | Батч 110/114 | Loss: 1.6383 | Accuracy: 43.75%
19:28:24 - Эпоха 14/20 | Батч 114/114 | Loss: 1.3481 | Accuracy: 54.17%
19:28:25 - Эпоха 15/20 | Батч 10/114 | Loss: 1.7155 | Accuracy: 40.62%
19:28:26 - Эпоха 15/20 | Батч 20/114 | Loss: 1.4634 | Accuracy: 46.88%
19:28:27 - Эпоха 15/20 | Батч 30/114 | Loss: 1.6777 | Accuracy: 46.88%
19:28:28 - Эпоха 15/20 | Батч 40/114 | Loss: 1.2352 | Accuracy: 56.25%
19:28:29 - Эпоха 15/20 | Батч 50/114 | Loss: 1.4619 | Accuracy: 40.62%
19:28:30 - Эпоха 15/20 | Батч 60/114 | Loss: 1.5632 | Accuracy: 43.75%
19:28:31 - Эпоха 15/20 | Батч 70/114 | Loss: 1.2643 | Accuracy: 56.25%
19:28:32 - Эпоха 15/20 | Батч 80/114 | Loss: 1.4854 | Accuracy: 43.75%
19:28:32 - Эпоха 15/20 | Батч 90/114 | Loss: 1.1055 | Accuracy: 78.12%
19:28:33 - Эпоха 15/20 | Батч 100/114 | Loss: 1.2902 | Accuracy: 56.25%
19:28:34 - Эпоха 15/20 | Батч 110/114 | Loss: 1.3034 | Accuracy: 53.12%
19:28:34 - Эпоха 15/20 | Батч 114/114 | Loss: 1.1467 | Accuracy: 62.50%
19:28:36 - Эпоха 16/20 | Батч 10/114 | Loss: 1.1656 | Accuracy: 65.62%
19:28:36 - Эпоха 16/20 | Батч 20/114 | Loss: 1.2814 | Accuracy: 53.12%
19:28:37 - Эпоха 16/20 | Батч 30/114 | Loss: 1.2307 | Accuracy: 50.00%
19:28:38 - Эпоха 16/20 | Батч 40/114 | Loss: 1.4519 | Accuracy: 40.62%
19:28:39 - Эпоха 16/20 | Батч 50/114 | Loss: 1.5622 | Accuracy: 50.00%
19:28:40 - Эпоха 16/20 | Батч 60/114 | Loss: 1.2226 | Accuracy: 65.62%
19:28:41 - Эпоха 16/20 | Батч 70/114 | Loss: 1.4356 | Accuracy: 46.88%
19:28:42 - Эпоха 16/20 | Батч 80/114 | Loss: 1.4287 | Accuracy: 56.25%
19:28:43 - Эпоха 16/20 | Батч 90/114 | Loss: 1.1859 | Accuracy: 53.12%
19:28:44 - Эпоха 16/20 | Батч 100/114 | Loss: 1.3997 | Accuracy: 59.38%
19:28:45 - Эпоха 16/20 | Батч 110/114 | Loss: 1.3175 | Accuracy: 56.25%
19:28:45 - Эпоха 16/20 | Батч 114/114 | Loss: 1.5250 | Accuracy: 45.83%
19:28:46 - Эпоха 17/20 | Батч 10/114 | Loss: 1.6228 | Accuracy: 43.75%
19:28:47 - Эпоха 17/20 | Батч 20/114 | Loss: 1.5012 | Accuracy: 50.00%
19:28:48 - Эпоха 17/20 | Батч 30/114 | Loss: 1.2288 | Accuracy: 59.38%
19:28:49 - Эпоха 17/20 | Батч 40/114 | Loss: 1.5499 | Accuracy: 43.75%
19:28:50 - Эпоха 17/20 | Батч 50/114 | Loss: 1.1923 | Accuracy: 56.25%
19:28:50 - Эпоха 17/20 | Батч 60/114 | Loss: 1.1468 | Accuracy: 59.38%
19:28:51 - Эпоха 17/20 | Батч 70/114 | Loss: 1.4165 | Accuracy: 50.00%
19:28:52 - Эпоха 17/20 | Батч 80/114 | Loss: 1.1930 | Accuracy: 62.50%
19:28:53 - Эпоха 17/20 | Батч 90/114 | Loss: 1.1715 | Accuracy: 65.62%
19:28:54 - Эпоха 17/20 | Батч 100/114 | Loss: 1.2330 | Accuracy: 65.62%
19:28:55 - Эпоха 17/20 | Батч 110/114 | Loss: 1.5204 | Accuracy: 46.88%
19:28:56 - Эпоха 17/20 | Батч 114/114 | Loss: 1.3238 | Accuracy: 62.50%
19:28:57 - Эпоха 18/20 | Батч 10/114 | Loss: 1.3634 | Accuracy: 50.00%
19:28:58 - Эпоха 18/20 | Батч 20/114 | Loss: 1.3402 | Accuracy: 53.12%
19:28:59 - Эпоха 18/20 | Батч 30/114 | Loss: 1.1479 | Accuracy: 59.38%
19:28:59 - Эпоха 18/20 | Батч 40/114 | Loss: 1.0603 | Accuracy: 75.00%
19:29:00 - Эпоха 18/20 | Батч 50/114 | Loss: 1.2562 | Accuracy: 62.50%
19:29:01 - Эпоха 18/20 | Батч 60/114 | Loss: 1.3018 | Accuracy: 56.25%
19:29:02 - Эпоха 18/20 | Батч 70/114 | Loss: 1.3530 | Accuracy: 65.62%
19:29:03 - Эпоха 18/20 | Батч 80/114 | Loss: 1.4083 | Accuracy: 50.00%
19:29:03 - Эпоха 18/20 | Батч 90/114 | Loss: 1.3003 | Accuracy: 43.75%
19:29:04 - Эпоха 18/20 | Батч 100/114 | Loss: 1.2011 | Accuracy: 65.62%
19:29:05 - Эпоха 18/20 | Батч 110/114 | Loss: 1.2568 | Accuracy: 56.25%
19:29:05 - Эпоха 18/20 | Батч 114/114 | Loss: 2.0521 | Accuracy: 41.67%
19:29:07 - Эпоха 19/20 | Батч 10/114 | Loss: 1.3289 | Accuracy: 53.12%
19:29:09 - Эпоха 19/20 | Батч 20/114 | Loss: 1.0562 | Accuracy: 71.88%
19:29:09 - Эпоха 19/20 | Батч 30/114 | Loss: 1.2029 | Accuracy: 53.12%
19:29:10 - Эпоха 19/20 | Батч 40/114 | Loss: 1.3093 | Accuracy: 56.25%
19:29:11 - Эпоха 19/20 | Батч 50/114 | Loss: 1.2905 | Accuracy: 56.25%
19:29:12 - Эпоха 19/20 | Батч 60/114 | Loss: 1.0385 | Accuracy: 68.75%
19:29:13 - Эпоха 19/20 | Батч 70/114 | Loss: 1.3674 | Accuracy: 56.25%
19:29:13 - Эпоха 19/20 | Батч 80/114 | Loss: 1.0753 | Accuracy: 56.25%
19:29:14 - Эпоха 19/20 | Батч 90/114 | Loss: 1.1374 | Accuracy: 62.50%
19:29:15 - Эпоха 19/20 | Батч 100/114 | Loss: 1.4774 | Accuracy: 50.00%
19:29:16 - Эпоха 19/20 | Батч 110/114 | Loss: 1.5481 | Accuracy: 40.62%
19:29:16 - Эпоха 19/20 | Батч 114/114 | Loss: 1.3906 | Accuracy: 50.00%
19:29:17 - Эпоха 20/20 | Батч 10/114 | Loss: 1.3680 | Accuracy: 50.00%
19:29:18 - Эпоха 20/20 | Батч 20/114 | Loss: 1.1112 | Accuracy: 62.50%
19:29:19 - Эпоха 20/20 | Батч 30/114 | Loss: 1.2922 | Accuracy: 71.88%
19:29:20 - Эпоха 20/20 | Батч 40/114 | Loss: 1.0277 | Accuracy: 78.12%
19:29:22 - Эпоха 20/20 | Батч 50/114 | Loss: 1.2910 | Accuracy: 59.38%
19:29:22 - Эпоха 20/20 | Батч 60/114 | Loss: 1.1647 | Accuracy: 68.75%
19:29:23 - Эпоха 20/20 | Батч 70/114 | Loss: 1.1330 | Accuracy: 65.62%
19:29:24 - Эпоха 20/20 | Батч 80/114 | Loss: 1.2699 | Accuracy: 56.25%
19:29:25 - Эпоха 20/20 | Батч 90/114 | Loss: 1.0996 | Accuracy: 68.75%
19:29:26 - Эпоха 20/20 | Батч 100/114 | Loss: 1.0405 | Accuracy: 68.75%
19:29:27 - Эпоха 20/20 | Батч 110/114 | Loss: 1.3706 | Accuracy: 46.88%
19:29:27 - Эпоха 20/20 | Батч 114/114 | Loss: 1.5711 | Accuracy: 41.67%
